token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	???	0	((televisione_accesa_di_sottofondo))	((televisione_accesa_di_sottofondo))	nonverbalbehavior	none	_	Begin=0.0|End=4.732	_	_	_	_
1-0	PKP061	1	sentiamo	sentiamo	linguistic	none	_	Begin=0.0	_	_	_	_
1-1	PKP061	1	come	come	linguistic	none	_	_	_	_	_	_
1-2	PKP061	1	sono	sono	linguistic	none	_	End=1.045	_	_	_	_
2-0	PKP061	2	secondo	secondo	linguistic	none	_	Begin=2.492	_	_	_	_
2-1	PKP061	2	me	me	linguistic	none	_	_	_	_	_	_
2-2	PKP061	2	la	la	linguistic	none	_	_	_	_	_	_
2-3	PKP061	2	nonna	nonna	linguistic	none	_	_	_	_	_	_
2-4	PKP061	2	vedeva,	vedeva	linguistic	none	Intonation=weakly_rising	End=4.408	_	_	_	_
3-0	PKP057	3	pensava	pensava	linguistic	none	_	Begin=5.197	_	_	_	_
3-1	PKP057	3	che	che	linguistic	none	_	_	_	_	_	_
3-2	PKP057	3	fossero	fossero	linguistic	none	_	_	_	_	_	_
3-3	PKP057	3	pezzi	pezzi	linguistic	none	_	_	_	_	_	_
3-4	PKP057	3	di	di	linguistic	none	_	_	_	_	_	_
3-5	PKP057	3	[verdure],	verdure	linguistic	none	Intonation=weakly_rising	End=6.76	_	_	_	0-7(0)
4-0	PKP061	4	[mh]	mh	linguistic	none	_	Begin=6.253|End=6.746	_	_	_	0-2(0)
5-0	PKP057	5	((soffia))	((soffia))	nonverbalbehavior	none	_	Begin=9.028	_	_	_	_
5-1	PKP057	5	buon	buon	linguistic	none	_	_	_	_	_	_
5-2	PKP057	5	appetito	appetito	linguistic	none	_	_	_	_	_	_
5-3	PKP057	5	((soffia))	((soffia))	nonverbalbehavior	none	_	End=11.028	_	_	_	_
6-0	PKP061	6	anche	anche	linguistic	none	_	Begin=10.802	_	_	_	_
6-1	PKP061	6	a	a	linguistic	none	_	_	_	_	_	_
6-2	PKP061	6	te	te	linguistic	none	_	End=11.408	_	_	_	_
7-0	PKP057	7	°m:h°	mh	linguistic	none	Volume=Low	Begin=13.028|End=14.028	0x1	_	_	_
8-0	PKP057	8	beh,	beh	linguistic	none	Intonation=weakly_rising	Begin=18.014	_	_	_	_
8-1	PKP057	8	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
8-2	PKP057	8	m:h	mh	linguistic	none	_	End=21.211	0x1	_	_	_
9-0	PKP061	9	>insomma<	insomma	linguistic	none	_	Begin=21.394|End=22.056	_	Fast=0-7	_	_
10-0	PKP057	10	non	non	linguistic	none	_	Begin=23.83	_	_	_	_
10-1	PKP057	10	male	male	linguistic	none	_	_	_	_	_	_
10-2	PKP057	10	non	non	linguistic	none	_	_	_	_	_	_
10-3	PKP057	10	mi	mi	linguistic	none	_	_	_	_	_	_
10-4	PKP057	10	fanno	fanno	linguistic	none	_	_	_	_	_	_
10-5	PKP057	10	impazzire	impazzire	linguistic	none	_	_	_	_	_	_
10-6	PKP057	10	ec[co]	ecco	linguistic	none	_	End=25.83	_	_	_	2-4(2)
11-0	PKP061	11	[mh].	mh	linguistic	none	Intonation=Falling	Begin=25.38|End=25.943	_	_	_	0-2(2)
12-0	PKP057	12	PIÙ	più	linguistic	none	Volume=High	Begin=28.802	_	_	_	_
12-1	PKP057	12	CHE	che	linguistic	none	Volume=High	_	_	_	_	_
12-2	PKP057	12	ALTRO,	altro	linguistic	none	Intonation=weakly_rising|Volume=High	_	_	_	_	_
12-3	PKP057	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
12-4	PKP057	12	m:h	mh	linguistic	none	_	_	0x1	_	_	_
12-5	PKP057	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
12-6	PKP057	12	è	è	linguistic	none	_	_	_	_	_	_
12-7	PKP057	12	poco	poco	linguistic	none	_	_	_	_	_	_
12-8	PKP057	12	amalgamato	amalgamato	linguistic	none	_	_	_	_	_	_
12-9	PKP057	12	CIOÈ	cioè	linguistic	none	Volume=High	_	_	_	_	_
12-10	PKP057	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
12-11	PKP057	12	non	non	linguistic	none	_	_	_	_	_	_
12-12	PKP057	12	sembra	sembra	linguistic	none	_	_	_	_	_	_
12-13	PKP057	12	una	una	linguistic	none	_	_	_	_	_	_
12-14	PKP057	12	pasta	pasta	linguistic	none	_	_	_	_	_	_
12-15	PKP057	12	al	al	linguistic	none	_	_	_	_	_	_
12-16	PKP057	12	forno	forno	linguistic	none	_	End=34.83	_	_	_	_
13-0	PKP061	13	mh	mh	linguistic	none	_	Begin=36.605|End=37.098	_	_	_	_
14-0	PKP057	14	o	o	linguistic	none	_	Begin=37.111	_	_	_	_
14-1	PKP057	14	no?	no	linguistic	none	Intonation=Rising	End=37.9	_	_	_	_
15-0	PKP061	15	mhmh.	mhmh	linguistic	none	Intonation=Falling	Begin=38.197|End=38.718	_	_	_	_
16-0	PKP057	16	molto:	molto	linguistic	none	_	Begin=39.619	4x1	_	_	_
16-1	PKP057	16	liq~	liq~	linguistic	none	Interrupted=Yes	_	_	_	_	_
16-2	PKP057	16	un	un	linguistic	none	_	_	_	_	_	_
16-3	PKP057	16	po'	po'	linguistic	none	_	_	_	_	_	_
16-4	PKP057	16	liquido	liquido	linguistic	none	_	_	_	_	_	_
