token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR019	0	okay	okay	linguistic	none	_	Begin=0.38	_	_	_	_
0-1	BOR019	0	innanzitutto	innanzitutto	linguistic	none	_	_	_	_	_	_
0-2	BOR019	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-3	BOR019	0	GRAZIE	grazie	linguistic	none	Volume=High	End=3.018	_	_	_	_
1-0	BOR019	1	e:	e	linguistic	none	_	Begin=4.38	0x1	_	_	_
1-1	BOR019	1	allora	allora	linguistic	none	_	_	_	_	_	_
1-2	BOR019	1	dimmi	dimmi	linguistic	none	_	_	_	_	_	_
1-3	BOR019	1	un	un	linguistic	none	_	_	_	_	_	_
1-4	BOR019	1	po'	po'	linguistic	none	_	End=6.268	_	_	_	_
2-0	BOR019	2	dove:	dove	linguistic	none	_	Begin=6.61	3x1	_	_	_
2-1	BOR019	2	dove	dove	linguistic	none	_	_	_	_	_	_
2-2	BOR019	2	vivi	vivi	linguistic	none	_	End=7.917	_	_	_	_
3-0	BOI076	3	>°vivo°<	vivo	linguistic	none	Volume=Low	Begin=8.27	_	Fast=0-4	_	_
3-1	BOI076	3	ad	ad	linguistic	none	_	_	_	_	_	_
3-2	BOI076	3	argelato	argelato	linguistic	none	_	_	_	_	_	_
3-3	BOI076	3	in	in	linguistic	none	_	_	_	_	_	_
3-4	BOI076	3	provincia	provincia	linguistic	none	_	_	_	_	_	_
3-5	BOI076	3	di	di	linguistic	none	_	_	_	_	_	_
3-6	BOI076	3	bologna	bologna	linguistic	none	_	End=11.523	_	_	_	_
4-0	BOR019	4	[okay]	okay	linguistic	none	_	Begin=11.78|End=12.477	_	_	_	0-4(0)
5-0	BOI076	5	[da:]	da	linguistic	none	_	Begin=11.78|End=12.477	1x1	_	_	0-2(0)
6-0	BOI076	6	più	più	linguistic	none	_	Begin=12.86	_	_	_	_
6-1	BOI076	6	di	di	linguistic	none	_	_	_	_	_	_
6-2	BOI076	6	diciotto	diciotto	linguistic	none	_	_	_	_	_	_
6-3	BOI076	6	anni	anni	linguistic	none	_	_	_	_	_	_
6-4	BOI076	6	credo	credo	linguistic	none	_	End=14.771	_	_	_	_
7-0	BOR019	7	okay	okay	linguistic	none	_	Begin=15.38	_	_	_	_
7-1	BOR019	7	molto	molto	linguistic	none	_	_	_	_	_	_
7-2	BOR019	7	bene	bene	linguistic	none	_	End=16.782	_	_	_	_
8-0	BOR019	8	ma	ma	linguistic	none	_	Begin=17.17	_	_	_	_
8-1	BOR019	8	e::hm	ehm	linguistic	none	_	_	0x2	_	_	_
8-2	BOR019	8	le	le	linguistic	none	_	_	_	_	_	_
8-3	BOR019	8	scuole::	scuole	linguistic	none	_	End=20.009	5x2	_	_	_
9-0	BOR019	9	le	le	linguistic	none	_	Begin=20.47	_	_	_	_
9-1	BOR019	9	hai	hai	linguistic	none	_	_	_	_	_	_
9-2	BOR019	9	fatte	fatte	linguistic	none	_	_	_	_	_	_
9-3	BOR019	9	a	a	linguistic	none	_	_	_	_	_	_
9-4	BOR019	9	bologna	bologna	linguistic	none	_	End=21.57	_	_	_	_
10-0	BOI076	10	no	no	linguistic	none	_	Begin=22.3	_	_	_	_
10-1	BOI076	10	allora	allora	linguistic	none	_	_	_	_	_	_
10-2	BOI076	10	((ride))	((ride))	nonverbalbehavior	none	_	End=23.704	_	_	_	_
11-0	BOI076	11	ho	ho	linguistic	none	_	Begin=23.8	_	_	_	_
11-1	BOI076	11	fatto	fatto	linguistic	none	_	_	_	_	_	_
11-2	BOI076	11	le	le	linguistic	none	_	_	_	_	_	_
11-3	BOI076	11	elementari	elementari	linguistic	none	_	_	_	_	_	_
11-4	BOI076	11	e	e	linguistic	none	_	_	_	_	_	_
11-5	BOI076	11	le	le	linguistic	none	_	_	_	_	_	_
11-6	BOI076	11	medie	medie	linguistic	none	_	_	_	_	_	_
11-7	BOI076	11	ad	ad	linguistic	none	_	_	_	_	_	_
11-8	BOI076	11	argelato	argelato	linguistic	none	_	End=26.947	_	_	_	_
12-0	BOR019	12	°okay°	okay	linguistic	none	Volume=Low	Begin=27.44|End=27.828	_	_	_	_
